Dec.,Hex,Signal Name,Gain (1/LSB),Offset,Full Scale,Unit,Acquisition Time (us),Comments
0,0,VSSA via TIELO,0.3663 m,0,1.5,V,46,
1,1,VCHG,5.495 m,0,22.5,V,46,
2,2,VMID,1.221 m,0,5,V,46,
3,3,VDD_MAIN,1.221 m,0,5,V,46,
4,4,VMAX,1.221 m,0,5,V,46,
5,5,VBAT,1.221 m,0,5,V,46,Differential /wrt VBAT_SNSP
6,6,VCHG_HEADROOM,1.221 m,0,5,V,46,Differential /wrt VBAT
10,0A,VBUCK0,0.3663 m,0,1.5,V,46,
11,0B,VBUCK1,0.3663 m,0,1.5,V,46,
12,0C,VBUCK2,1.221 m,0,5,V,46,
13,0D,VBUCK3,1.221 m,0,5,V,46,
15,0F,unused,n/a,n/a,n/a,n/a,n/a,former IBUCK0
16,10,unused,n/a,n/a,n/a,n/a,n/a,former IBUCK1
17,11,unused,n/a,n/a,n/a,n/a,n/a,former IBUCK2
18,12,unused,n/a,n/a,n/a,n/a,n/a,former IBUCK3
20,14,VLDO0,1.221 m,0,5,V,46,
21,15,VLDO1,0.3663 m,0,1.5,V,46,
22,16,VLDO2,1.221 m,0,5,V,46,
23,17,VLDO3,1.221 m,0,5,V,46,
25,19,ILDO0,0.10789 m,0,0.4,A,46,
26,1A,ILDO1,0.10789 m,0,0.4,A,46,
27,1B,ILDO2,0.10789 m,0,0.4,A,46,
28,1C,ILDO3,0.10789 m,0,0.4,A,46,
31,1F,ICHG,0.030525 m,0,0.1,A,46,
40,28,VSINK0,1.221 m,0,5,V,46,
41,29,VSINK1,1.221 m,0,5,V,46,
42,2A,VSINK2,1.221 m,0,5,V,46,
51,33,VREF_1V2,0.3663 m,0,1.5,V,46,
65,41,TCAL,1.221 m,0,5,V,94,"25 to 200uA in steps of 25uA, source or sink"
66,42,TDEV1,1.221 m,0,5,V,94,"25 to 200uA in steps of 25uA, source or sink"
67,43,TDEV2,1.221 m,0,5,V,94,"25 to 200uA in steps of 25uA, source or sink"
