PERCENTAGE,FCT ADC AVERAGE,LSB,MSB
25,1.245574,0x09,0x82
25,1.245574,0x08,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0x82
25,1.245574,0x08,0xc2
25,1.245574,0x08,0xc2
25,1.245574,0x08,0x02
25,1.245574,0x09,0xc2
25,1.245574,0x01,0xc2
25,1.245574,0x09,0xc0
25,1.245574,0x09,0xc2
25,1.245574,0x09,0x42
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0x42
25,1.245574,0x09,0xc2
25,1.245574,0x09,0x42
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0x42
25,1.245574,0x09,0x40
25,1.245574,0x09,0xc0
25,1.245574,0x01,0x82
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x08,0xc2
25,1.245574,0x09,0x02
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x08,0x42
25,1.245574,0x09,0xc2
25,1.245574,0x08,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x08,0x02
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0x02
25,1.245574,0x08,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
25,1.245574,0x09,0xc2
35,1.74569,0x0a,0xa1
35,1.74569,0x0a,0xa1
35,1.74569,0x0a,0x89
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa8
35,1.74569,0x0a,0xa8
35,1.74569,0x0a,0xa1
35,1.74569,0x08,0xa9
35,1.74569,0x0a,0xa8
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0x20
35,1.74569,0x0a,0x29
35,1.74569,0x0a,0xa1
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x08,0x29
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x02,0xa9
35,1.74569,0x0a,0xa1
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x08,0xa9
35,1.74569,0x08,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0x89
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0x29
35,1.74569,0x08,0xa9
35,1.74569,0x0a,0x29
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0x89
35,1.74569,0x0a,0xa1
35,1.74569,0x0a,0x29
35,1.74569,0x0a,0x89
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa1
35,1.74569,0x0a,0xa1
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0x89
35,1.74569,0x0a,0xa9
35,1.74569,0x0a,0xa9
35,1.74569,0x02,0xa1
35,1.74569,0x0a,0xa9
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x04,0x90
45,2.244921,0x05,0x90
45,2.244921,0x04,0x90
45,2.244921,0x05,0x80
45,2.244921,0x04,0x90
45,2.244921,0x04,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x01,0x10
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x04,0x90
45,2.244921,0x01,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x00,0x90
45,2.244921,0x04,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x10
45,2.244921,0x04,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x04,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x10
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x80
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x00,0x90
45,2.244921,0x01,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
45,2.244921,0x05,0x90
55,2.745222,0x04,0x77
55,2.745222,0x04,0x76
55,2.745222,0x04,0x75
55,2.745222,0x04,0x77
55,2.745222,0x04,0x75
55,2.745222,0x04,0x57
55,2.745222,0x04,0x77
55,2.745222,0x04,0x77
55,2.745222,0x04,0x75
55,2.745222,0x04,0x75
55,2.745222,0x00,0x71
55,2.745222,0x04,0x67
55,2.745222,0x04,0x75
55,2.745222,0x04,0x16
55,2.745222,0x04,0x77
55,2.745222,0x04,0x67
55,2.745222,0x04,0x75
55,2.745222,0x00,0x76
55,2.745222,0x04,0x57
55,2.745222,0x04,0x73
55,2.745222,0x04,0x77
55,2.745222,0x04,0x66
55,2.745222,0x04,0x76
55,2.745222,0x04,0x77
55,2.745222,0x04,0x77
55,2.745222,0x00,0x56
55,2.745222,0x04,0x77
55,2.745222,0x04,0x76
55,2.745222,0x04,0x73
55,2.745222,0x04,0x73
55,2.745222,0x04,0x67
55,2.745222,0x04,0x75
55,2.745222,0x04,0x77
55,2.745222,0x04,0x77
55,2.745222,0x04,0x77
55,2.745222,0x04,0x77
55,2.745222,0x00,0x67
55,2.745222,0x04,0x76
55,2.745222,0x04,0x77
55,2.745222,0x00,0x10
55,2.745222,0x04,0x05
55,2.745222,0x04,0x65
55,2.745222,0x00,0x65
55,2.745222,0x00,0x73
55,2.745222,0x04,0x55
55,2.745222,0x04,0x01
55,2.745222,0x00,0x64
55,2.745222,0x04,0x60
55,2.745222,0x04,0x00
55,2.745222,0x00,0x67
65,3.245315,0x08,0x5a
65,3.245315,0x09,0x50
65,3.245315,0x01,0x56
65,3.245315,0x0b,0x5e
65,3.245315,0x08,0x48
65,3.245315,0x0b,0x00
65,3.245315,0x03,0x5c
65,3.245315,0x0b,0x5c
65,3.245315,0x0a,0x42
65,3.245315,0x00,0x40
65,3.245315,0x0a,0x1a
65,3.245315,0x0b,0x5e
65,3.245315,0x0b,0x50
65,3.245315,0x0b,0x5c
65,3.245315,0x0a,0x58
65,3.245315,0x0b,0x5a
65,3.245315,0x0a,0x14
65,3.245315,0x0b,0x5c
65,3.245315,0x0b,0x5e
65,3.245315,0x0a,0x40
65,3.245315,0x0b,0x5e
65,3.245315,0x03,0x58
65,3.245315,0x0a,0x5c
65,3.245315,0x0a,0x5e
65,3.245315,0x0b,0x56
65,3.245315,0x0b,0x5c
65,3.245315,0x0b,0x5e
65,3.245315,0x03,0x5a
65,3.245315,0x0b,0x5c
65,3.245315,0x01,0x0c
65,3.245315,0x0a,0x5a
65,3.245315,0x0a,0x5e
65,3.245315,0x0a,0x56
65,3.245315,0x08,0x54
65,3.245315,0x09,0x42
65,3.245315,0x0a,0x16
65,3.245315,0x09,0x58
65,3.245315,0x03,0x56
65,3.245315,0x0a,0x56
65,3.245315,0x08,0x42
65,3.245315,0x0b,0x5a
65,3.245315,0x02,0x0a
65,3.245315,0x03,0x58
65,3.245315,0x0b,0x5e
65,3.245315,0x0b,0x16
65,3.245315,0x0b,0x5c
65,3.245315,0x0a,0x5c
65,3.245315,0x03,0x58
65,3.245315,0x0b,0x56
65,3.245315,0x0a,0x40
75,3.745885,0x00,0x06
75,3.745885,0x00,0x46
75,3.745885,0x00,0x44
75,3.745885,0x00,0x46
75,3.745885,0x00,0x06
75,3.745885,0x00,0x44
75,3.745885,0x00,0x06
75,3.745885,0x00,0x46
75,3.745885,0x00,0x00
75,3.745885,0x00,0x06
75,3.745885,0x00,0x06
75,3.745885,0x00,0x06
75,3.745885,0x00,0x44
75,3.745885,0x00,0x46
75,3.745885,0x00,0x40
75,3.745885,0x00,0x40
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x42
75,3.745885,0x00,0x44
75,3.745885,0x00,0x44
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x04
75,3.745885,0x00,0x06
75,3.745885,0x00,0x40
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x44
75,3.745885,0x00,0x42
75,3.745885,0x00,0x46
75,3.745885,0x00,0x42
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x44
75,3.745885,0x00,0x46
75,3.745885,0x00,0x44
75,3.745885,0x00,0x40
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
75,3.745885,0x00,0x46
